"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260523","우이신설선","4.19민주묘지","3150","2744","20260526"
"20260523","경원선","가능","5785","5510","20260526"
"20260523","3호선","가락시장","7425","6919","20260526"
"20260523","8호선","가락시장","6863","6916","20260526"
"20260523","7호선","가산디지털단지","16467","14988","20260526"
"20260523","경부선","가산디지털단지","6968","8852","20260526"
"20260523","9호선","가양","17811","16612","20260526"
"20260523","우이신설선","가오리","3821","3493","20260526"
"20260523","경의선","가좌","5240","5036","20260526"
"20260523","분당선","가천대","7428","7112","20260526"
"20260523","경춘선","가평","2891","3857","20260526"
"20260523","경인선","간석","5226","4953","20260526"
"20260523","경춘선","갈매","2235","1941","20260526"
"20260523","2호선","강남","62833","62048","20260526"
"20260523","7호선","강남구청","11793","13247","20260526"
"20260523","분당선","강남구청","6091","7487","20260526"
"20260523","5호선","강동","15266","14437","20260526"
"20260523","8호선","강동구청","7411","7196","20260526"
"20260523","경의선","강매","2460","2135","20260526"
"20260523","2호선","강변(동서울터미널)","29954","32423","20260526"
"20260523","5호선","강일","5358","4537","20260526"
"20260523","경춘선","강촌","770","937","20260526"
"20260523","5호선","개롱","5119","5199","20260526"
"20260523","경인선","개봉","20088","19150","20260526"
"20260523","분당선","개포동","3072","2979","20260526"
"20260523","9호선","개화","1739","1406","20260526"
"20260523","5호선","개화산","4911","4669","20260526"
"20260523","5호선","거여","7794","7423","20260526"
"20260523","7호선","건대입구","14347","14527","20260526"
"20260523","2호선","건대입구","42529","44512","20260526"
"20260523","경의선","검암","1","0","20260526"
"20260523","공항철도 1호선","검암","4977","5107","20260526"
"20260523","경강선","경기광주","6972","6573","20260526"
"20260523","과천선","경마공원","13526","13549","20260526"
"20260523","3호선","경복궁(정부서울청사)","27753","30206","20260526"
"20260523","3호선","경찰병원","5336","5093","20260526"
"20260523","공항철도 1호선","계양","7989","7489","20260526"
"20260523","5호선","고덕","8135","7810","20260526"
"20260523","6호선","고려대(종암)","8035","7102","20260526"
"20260523","수인선","고색","3808","3905","20260526"
"20260523","9호선","고속터미널","20567","31579","20260526"
"20260523","7호선","고속터미널","19521","16018","20260526"
"20260523","3호선","고속터미널","67264","71336","20260526"
"20260523","안산선","고잔","7893","7768","20260526"
"20260523","경의선","곡산","516","531","20260526"
"20260523","경강선","곤지암","2435","2466","20260526"
"20260523","6호선","공덕","13431","13148","20260526"
"20260523","경의선","공덕","4119","2963","20260526"
"20260523","5호선","공덕","9514","9600","20260526"
